Candidat;"Détail des temps";"Total journée(durée)";"Total journée (%)"
"ALLIOT MARIE MICHELE";"Total Temps de parole";00:00:30;0.12
"ALLIOT MARIE MICHELE";"Total Temps d'antenne";00:00:30;0.11
"FILLON FRANCOIS";"Total Temps de parole";01:42:15;25.26
"FILLON FRANCOIS";"Total Temps d'antenne";02:06:50;27.06
"GUAINO HENRI";"Total Temps de parole";00:58:21;14.42
"GUAINO HENRI";"Total Temps d'antenne";01:03:21;13.52
"HAMON BENOIT";"Total Temps d'antenne";02:13:48;28.55
"HAMON BENOIT";"Total Temps de parole";02:03:41;30.56
"JADOT YANNICK";"Total Temps de parole";00:02:44;0.68
"JADOT YANNICK";"Total Temps d'antenne";00:04:49;1.03
"JARDIN ALEXANDRE";"Total Temps de parole";00:00:20;0.08
"JARDIN ALEXANDRE";"Total Temps d'antenne";00:00:20;0.07
"LANG CARL";"Total Temps d'antenne";00:00:25;0.09
"LANG CARL";"Total Temps de parole";00:00:25;0.10
"LE PEN MARINE";"Total Temps de parole";00:18:56;4.68
"LE PEN MARINE";"Total Temps d'antenne";00:31:01;6.62
"MACRON EMMANUEL";"Total Temps de parole";01:19:40;19.68
"MACRON EMMANUEL";"Total Temps d'antenne";01:24:40;18.06
"MELENCHON JEAN LUC";"Total Temps d'antenne";00:13:27;2.87
"MELENCHON JEAN LUC";"Total Temps de parole";00:09:22;2.31
"POUTOU PHILIPPE";"Total Temps de parole";00:00:00;0.00
"POUTOU PHILIPPE";"Total Temps d'antenne";00:01:00;0.21
"YADE RAMA";"Total Temps de parole";00:08:31;2.10
"YADE RAMA";"Total Temps d'antenne";00:08:31;1.82